Timestamp,"Power (Wm) - sid = 787470 (Incomer)"
"2018-07-01 05:52:00",374.00
"2018-07-01 05:53:00",376.00
"2018-07-01 05:54:00",377.00
"2018-07-01 05:55:00",367.00
"2018-07-01 05:56:00",390.00
"2018-07-01 05:57:00",364.00
"2018-07-01 05:58:00",355.00
"2018-07-01 05:59:00",346.00
"2018-07-01 06:00:00",406.00
"2018-07-01 06:01:00",470.00
"2018-07-01 06:02:00",468.00
"2018-07-01 06:03:00",1043.00
"2018-07-01 06:04:00",464.00
"2018-07-01 06:05:00",449.00
"2018-07-01 06:06:00",956.00
"2018-07-01 06:07:00",670.00
"2018-07-01 06:08:00",1051.00
"2018-07-01 06:09:00",650.00
"2018-07-01 06:10:00",427.00
"2018-07-01 06:11:00",1226.00
"2018-07-01 06:12:00",452.00
"2018-07-01 06:13:00",1344.00
"2018-07-01 06:14:00",979.00
"2018-07-01 06:15:00",995.00
"2018-07-01 06:16:00",1687.00
"2018-07-01 06:17:00",944.00
"2018-07-01 06:18:00",957.00
"2018-07-01 06:19:00",940.00
"2018-07-01 06:20:00",971.00
"2018-07-01 06:21:00",947.00
"2018-07-01 06:22:00",991.00
"2018-07-01 06:23:00",1072.00
"2018-07-01 06:24:00",1085.00
"2018-07-01 06:25:00",1093.00
"2018-07-01 06:26:00",1079.00
"2018-07-01 06:27:00",1077.00
"2018-07-01 06:28:00",1096.00
"2018-07-01 06:29:00",1084.00
"2018-07-01 06:30:00",1081.00
"2018-07-01 06:31:00",930.00
"2018-07-01 06:32:00",993.00
"2018-07-01 06:33:00",1004.00
"2018-07-01 06:34:00",1035.00
"2018-07-01 06:35:00",1019.00
"2018-07-01 06:36:00",2154.00
"2018-07-01 06:37:00",950.00
"2018-07-01 06:38:00",977.00
"2018-07-01 06:39:00",927.00
"2018-07-01 06:40:00",885.00
"2018-07-01 06:41:00",932.00
"2018-07-01 06:42:00",901.00
"2018-07-01 06:43:00",902.00
"2018-07-01 06:44:00",906.00
"2018-07-01 06:45:00",871.00
"2018-07-01 06:46:00",884.00
"2018-07-01 06:47:00",915.00
"2018-07-01 06:48:00",895.00
"2018-07-01 06:49:00",983.00
"2018-07-01 06:50:00",1047.00
"2018-07-01 06:51:00",941.00
"2018-07-01 06:52:00",909.00
"2018-07-01 06:53:00",889.00
"2018-07-01 06:54:00",935.00
"2018-07-01 06:55:00",895.00
"2018-07-01 06:56:00",901.00
"2018-07-01 06:57:00",890.00
"2018-07-01 06:58:00",1115.00
"2018-07-01 06:59:00",1217.00
"2018-07-01 07:00:00",1005.00
"2018-07-01 07:01:00",950.00
"2018-07-01 07:02:00",924.00
"2018-07-01 07:03:00",984.00
"2018-07-01 07:04:00",926.00
"2018-07-01 07:05:00",1303.00
"2018-07-01 07:06:00",1361.00
"2018-07-01 07:07:00",1005.00
"2018-07-01 07:08:00",1023.00
"2018-07-01 07:09:00",1203.00
"2018-07-01 07:10:00",1207.00
"2018-07-01 07:11:00",1013.00
"2018-07-01 07:12:00",1014.00
"2018-07-01 07:13:00",955.00
"2018-07-01 07:14:00",1008.00
"2018-07-01 07:15:00",1003.00
"2018-07-01 07:16:00",987.00
"2018-07-01 07:17:00",980.00
"2018-07-01 07:18:00",994.00
"2018-07-01 07:19:00",1011.00
"2018-07-01 07:20:00",1040.00
"2018-07-01 07:21:00",994.00
"2018-07-01 07:22:00",1007.00
"2018-07-01 07:23:00",1010.00
"2018-07-01 07:24:00",1013.00
"2018-07-01 07:25:00",1006.00
"2018-07-01 07:26:00",928.00
"2018-07-01 07:27:00",906.00
"2018-07-01 07:28:00",1061.00
"2018-07-01 07:29:00",3045.00
"2018-07-01 07:30:00",3655.00
"2018-07-01 07:31:00",1574.00
"2018-07-01 07:32:00",950.00
"2018-07-01 07:33:00",996.00
"2018-07-01 07:34:00",1007.00
"2018-07-01 07:35:00",1026.00
"2018-07-01 07:36:00",994.00
"2018-07-01 07:37:00",958.00
"2018-07-01 07:38:00",992.00
"2018-07-01 07:39:00",1041.00
"2018-07-01 07:40:00",983.00
"2018-07-01 07:41:00",1005.00
"2018-07-01 07:42:00",1020.00
"2018-07-01 07:43:00",978.00
"2018-07-01 07:44:00",1058.00
"2018-07-01 07:45:00",1079.00
"2018-07-01 07:46:00",948.00
"2018-07-01 07:47:00",924.00
"2018-07-01 07:48:00",1018.00
"2018-07-01 07:49:00",1075.00
"2018-07-01 07:50:00",1043.00
"2018-07-01 07:51:00",1036.00
"2018-07-01 07:52:00",982.00
"2018-07-01 07:53:00",987.00
"2018-07-01 07:54:00",1020.00
"2018-07-01 07:55:00",969.00
"2018-07-01 07:56:00",943.00
"2018-07-01 07:57:00",924.00
"2018-07-01 07:58:00",923.00
"2018-07-01 07:59:00",895.00
"2018-07-01 08:00:00",849.00
"2018-07-01 08:01:00",850.00
"2018-07-01 08:02:00",855.00
"2018-07-01 08:03:00",866.00
"2018-07-01 08:04:00",866.00
"2018-07-01 08:05:00",1337.00
"2018-07-01 08:06:00",1013.00
"2018-07-01 08:07:00",1085.00
"2018-07-01 08:08:00",1078.00
"2018-07-01 08:09:00",956.00
"2018-07-01 08:10:00",929.00
"2018-07-01 08:11:00",951.00
"2018-07-01 08:12:00",913.00
"2018-07-01 08:13:00",1360.00
"2018-07-01 08:14:00",1458.00
"2018-07-01 08:15:00",935.00
"2018-07-01 08:16:00",872.00
"2018-07-01 08:17:00",562.00
"2018-07-01 08:18:00",271.00
"2018-07-01 08:19:00",328.00
"2018-07-01 08:20:00",341.00
"2018-07-01 08:21:00",340.00
"2018-07-01 08:22:00",333.00
"2018-07-01 08:23:00",314.00
"2018-07-01 08:24:00",318.00
"2018-07-01 08:25:00",337.00
"2018-07-01 08:26:00",325.00
"2018-07-01 08:27:00",318.00
"2018-07-01 08:28:00",357.00
"2018-07-01 08:29:00",381.00
"2018-07-01 08:30:00",387.00
"2018-07-01 08:31:00",360.00
"2018-07-01 08:32:00",331.00
"2018-07-01 08:33:00",351.00
"2018-07-01 08:34:00",328.00
"2018-07-01 08:35:00",320.00
"2018-07-01 08:36:00",342.00
"2018-07-01 08:37:00",337.00
"2018-07-01 08:38:00",335.00
"2018-07-01 08:39:00",325.00
"2018-07-01 08:40:00",336.00
"2018-07-01 08:41:00",334.00
"2018-07-01 08:42:00",329.00
"2018-07-01 08:43:00",328.00
"2018-07-01 08:44:00",323.00
"2018-07-01 08:45:00",289.00
"2018-07-01 08:46:00",284.00
"2018-07-01 08:47:00",334.00
"2018-07-01 08:48:00",387.00
"2018-07-01 08:49:00",795.00
"2018-07-01 08:50:00",394.00
"2018-07-01 08:51:00",402.00
