Last Updated,PV1 Current (A),PV2 Current (A),PV1 Voltage (V),PV2 Voltage (V),Output Current (A),Network Voltage (V),Power Now (W),Exported Power (W),PV1 Input Power (W),PV2 Input Power (W),FAC1 (HZ),Exported energy (kWh),Grid Consumption (kWh),Today's Energy (kWh),Total Energy (kWh)
2018/7/1 13:00:28,0,3.1,0,231.9,3,240.9,685,0,0,726,49.97,0,0,3.8,1229.8
2018/7/1 13:05:28,0,4.8,0,220.6,4.2,244.2,975,0,0,1065,50.03,0,0,3.9,1230
2018/7/1 13:10:28,0,3.3,0,229.7,3.2,243.7,735,0,0,773,49.99,0,0,4,1230
2018/7/1 13:15:28,0,9.4,0,229.8,8.5,243.7,2044,0,0,2163,50.02,0,0,4.1,1230.1
2018/7/1 13:20:29,0,2.9,0,230.3,2.9,240.9,652,0,0,687,50.02,0,0,4.2,1230.2
2018/7/1 13:25:29,0,4.1,0,233.7,3.9,244.7,926,0,0,975,50.03,0,0,4.3,1230.3
2018/7/1 13:30:29,0,3.8,0,237.2,3.7,244.1,871,0,0,923,50.04,0,0,4.4,1230.4
2018/7/1 13:35:29,0,7.7,0,234.6,7,247.4,1774,0,0,1820,50,0,0,4.5,1230.5
2018/7/1 13:40:29,0,6.6,0,227.4,5.9,246.9,1526,0,0,1536,50,0,0,4.6,1230.6
2018/7/1 13:45:29,0,3.4,0,231.1,3.2,245.3,750,0,0,787,49.98,0,0,4.7,1230.7
2018/7/1 13:50:29,0,4.8,0,221.5,4.2,246,1026,0,0,1068,49.99,0,0,4.8,1230.8
2018/7/1 13:55:29,0,9,0,226.4,7.9,247.6,1941,0,0,2052,50.06,0,0,4.9,1230.9
2018/7/1 14:00:29,0,3.2,0,229.7,3.1,245.8,705,0,0,745,50.02,0,0,5,1231
2018/7/1 14:05:29,0,3.3,0,234.1,3.2,246.8,745,0,0,781,50.06,0,0,5,1231
2018/7/1 14:10:29,0,5.6,0,230.9,5.2,245.6,1240,0,0,1309,50.03,0,0,5.1,1231.1
2018/7/1 14:15:29,0,2.6,0,229,2.6,244.7,584,0,0,616,50.03,0,0,5.2,1231.2
2018/7/1 14:20:29,0,2.1,0,240.4,2.2,242,478,0,0,506,50.01,0,0,5.2,1231.2
2018/7/1 14:25:29,0,4.9,0,234.4,4.7,243.6,1101,0,0,1166,50.01,0,0,5.3,1231.3
2018/7/1 14:30:29,0,4.1,0,235,4,244.5,926,0,0,988,49.99,0,0,5.4,1231.4
2018/7/1 14:35:29,0,5.4,0,231.5,5,243.5,1201,0,0,1269,49.99,0,0,5.4,1231.5
2018/7/1 14:40:29,0,5.2,0,229.5,4.8,244.7,1137,0,0,1198,49.95,0,0,5.5,1231.6
2018/7/1 14:45:29,0,4.6,0,219,4.1,243.7,968,0,0,1025,49.91,0,0,5.6,1231.7
2018/7/1 14:50:29,0,3,0,233.5,3,240.4,681,0,0,718,49.91,0,0,5.7,1231.7
2018/7/1 14:55:30,0,6.8,0,227.7,6.1,245,1473,0,0,1556,49.93,0,0,5.8,1231.8
2018/7/1 15:00:29,0,7.4,0,230.9,6.7,244.8,1626,0,0,1715,49.92,0,0,5.9,1232
2018/7/1 15:05:29,0,4.4,0,221.3,4,243.8,940,0,0,980,49.92,0,0,6,1232.1
2018/7/1 15:10:29,0,7.4,0,230.4,6.7,245,1619,0,0,1710,49.91,0,0,6.2,1232.2
2018/7/1 15:15:29,0,8.4,0,227.4,7.5,244.7,1830,0,0,1933,49.94,0,0,6.3,1232.3
2018/7/1 15:20:29,0,8.4,0,229.3,7.5,245.7,1825,0,0,1934,49.95,0,0,6.4,1232.5
2018/7/1 15:25:29,0,4.9,0,227.7,4.5,244.6,1078,0,0,1134,49.95,0,0,6.6,1232.6
2018/7/1 15:30:30,0,3.3,0,218.5,3.1,243.1,707,0,0,741,49.95,0,0,6.7,1232.7
2018/7/1 15:35:29,0,2.6,0,237.9,2.6,243.6,600,0,0,633,49.94,0,0,6.7,1232.8
2018/7/1 15:40:29,0,8.7,0,231.3,7.8,245.5,1908,0,0,2024,49.92,0,0,6.8,1232.9
